Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,PageValues,OperatingSystems,Browser,Region,TrafficType
0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,2,64,0,2,2,1,2
0,0,0,0,1,0,0,4,1,9,3
0,0,0,0,2,3,0,3,2,2,4
0,0,0,0,10,628,0,3,3,1,4
0,0,0,0,19,154,0,2,2,1,3
0,0,0,0,1,0,0,2,4,3,3
1,0,0,0,0,0,0,1,2,1,5
0,0,0,0,2,37,0,2,2,2,3
0,0,0,0,3,738,0,2,4,1,2
0,0,0,0,3,395,0,1,1,3,3
0,0,0,0,16,408,0,1,1,4,3
0,0,0,0,7,281,0,1,1,1,3
0,0,0,0,6,98,0,2,5,1,3
0,0,0,0,2,68,0,3,2,3,3
2,53,0,0,23,1668,0,1,1,9,3
0,0,0,0,1,0,0,1,1,4,3
0,0,0,0,13,335,0,1,1,1,4
0,0,0,0,2,32,0,2,2,1,3
0,0,0,0,20,2981,0,2,4,4,4
0,0,0,0,8,136,0,2,2,5,1
0,0,0,0,2,0,0,3,3,1,3
0,0,0,0,3,105,0,3,2,1,5
0,0,0,0,2,15,0,2,4,1,3
0,0,0,0,1,0,0,2,2,4,1
0,0,0,0,5,156,0,1,1,9,3
4,65,0,0,32,1135,0,2,2,1,3
0,0,0,0,4,76,0,1,1,1,3
0,0,0,0,4,63,0,2,6,1,3
1,6,1,0,45,1583,54,3,2,1,1
0,0,0,0,2,35,0,1,1,6,3
0,0,0,0,3,78,0,1,2,6,6
0,0,0,0,8,210,0,2,2,1,1
0,0,0,0,10,184,0,1,1,3,1
0,0,0,0,14,381,0,2,2,1,1
0,0,0,0,52,2086,0,2,2,7,1
0,0,0,0,8,388,0,3,2,1,4
2,18,0,0,5,298,0,2,2,8,4
0,0,0,0,7,63,0,2,2,1,3
0,0,0,0,9,482,0,2,5,1,6
1,9,0,0,46,4084,0,2,2,8,4
0,0,0,0,3,22,0,1,1,3,2
0,0,0,0,15,310,0,1,1,4,4
0,0,0,0,2,34,0,3,2,2,3
0,0,0,0,4,88,0,4,1,1,3
0,0,0,0,22,622,0,2,5,1,4
0,0,0,0,14,222,0,1,1,1,2
0,0,0,0,3,80,0,3,2,1,3
0,0,0,0,11,801,0,3,2,1,3
0,0,0,0,1,0,0,2,2,3,2
0,0,0,0,1,0,0,1,1,3,4
0,0,0,0,12,265,0,3,2,1,3
0,0,0,0,2,29,0,2,4,4,2
0,0,0,0,4,160,0,4,2,2,3
0,0,0,0,4,136,0,3,3,1,4
0,0,0,0,1,0,0,2,4,1,3
0,0,0,0,1,0,0,3,2,3,3
4,56,2,120,36,999,19,2,2,4,1
0,0,0,0,4,104,0,2,6,6,3
2,16,0,0,16,382,0,2,4,2,1
0,0,0,0,6,169,0,1,1,3,3
0,0,0,0,8,401,0,1,1,1,3
12,279,0,0,42,1554,38,1,1,3,2
0,0,0,0,14,707,0,2,2,5,4
0,0,0,0,1,0,0,2,2,4,3
3,88,0,0,27,798,23,2,2,3,1
4,44,0,0,90,6952,0,4,1,1,3
0,0,0,0,1,0,0,2,2,5,1
0,0,0,0,18,902,0,2,7,2,4
0,0,0,0,1,0,0,3,2,3,3
0,0,0,0,1,0,0,2,6,1,2
0,0,0,0,20,197,0,2,6,6,1
0,0,0,0,2,43,0,2,2,3,3
0,0,0,0,8,427,0,2,4,3,2
0,0,0,0,3,135,0,2,4,3,3
0,0,0,0,16,588,0,2,4,1,1
10,1006,0,0,36,2111,11,2,6,1,2
